SCENARIO,QUARTER,DATE,GDP,HCPI,HPI
BEST,Q1,2022-01-31,2770170.97,103.58,157.44
BEST,Q1,2022-02-28,2782303.83,102.64,157.49
BEST,Q1,2022-03-31,2794436.68,102.88,157.69
BEST,Q2,2022-04-30,2727878.77,104.30,157.90
BEST,Q2,2022-05-31,2661320.86,103.33,158.42
BEST,Q2,2022-06-30,2594762.94,103.73,158.83
BEST,Q3,2022-07-31,2564824.74,103.60,159.50
BEST,Q3,2022-08-31,2534886.54,103.42,160.17
BEST,Q3,2022-09-30,2504948.33,105.06,161.00
BEST,Q4,2022-10-31,2606655.46,105.83,161.77
BEST,Q4,2022-11-30,2708362.59,106.14,162.13
BEST,Q4,2022-12-31,2810069.72,105.73,162.39
BEST,Q5,2023-01-31,2896075.94,105.03,161.64
BEST,Q5,2023-02-28,2908760.24,104.07,161.69
BEST,Q5,2023-03-31,2921444.54,104.32,161.90
BEST,Q6,2023-04-30,2851861.55,105.76,162.11
BEST,Q6,2023-05-31,2782278.57,104.78,162.64
BEST,Q6,2023-06-30,2712695.58,105.18,163.07
BEST,Q7,2023-07-31,2681396.68,105.05,163.75
BEST,Q7,2023-08-31,2650097.77,104.86,164.44
BEST,Q7,2023-09-30,2618798.87,106.53,165.29
BEST,Q8,2023-10-31,2725128.61,107.32,166.08
BEST,Q8,2023-11-30,2831458.36,107.62,166.45
BEST,Q8,2023-12-31,2937788.10,107.21,166.72
BASE,Q1,2022-01-31,2760508.20,104.28,156.21
BASE,Q1,2022-02-28,2772598.73,103.33,156.26
BASE,Q1,2022-03-31,2784689.27,103.57,156.47
BASE,Q2,2022-04-30,2718363.52,105.00,156.67
BASE,Q2,2022-05-31,2652037.77,104.03,157.18
BASE,Q2,2022-06-30,2585712.02,104.43,157.59
BASE,Q3,2022-07-31,2555878.25,104.30,158.26
BASE,Q3,2022-08-31,2526044.47,104.11,158.92
BASE,Q3,2022-09-30,2496210.70,105.76,159.74
BASE,Q4,2022-10-31,2597563.06,106.55,160.51
BASE,Q4,2022-11-30,2698915.41,106.85,160.87
BASE,Q4,2022-12-31,2800267.77,106.44,161.13
BASE,Q5,2023-01-31,2853549.54,105.74,159.44
BASE,Q5,2023-02-28,2866047.58,104.77,159.49
BASE,Q5,2023-03-31,2878545.62,105.01,159.70
BASE,Q6,2023-04-30,2809984.40,106.47,159.91
BASE,Q6,2023-05-31,2741423.18,105.48,160.43
BASE,Q6,2023-06-30,2672861.96,105.88,160.85
BASE,Q7,2023-07-31,2642022.66,105.76,161.53
BASE,Q7,2023-08-31,2611183.35,105.57,162.21
BASE,Q7,2023-09-30,2580344.05,107.24,163.04
BASE,Q8,2023-10-31,2685112.43,108.03,163.83
BASE,Q8,2023-11-30,2789880.81,108.34,164.19
BASE,Q8,2023-12-31,2894649.19,107.93,164.45
WORST,Q1,2022-01-31,2728412.42,105.90,155.60
WORST,Q1,2022-02-28,2740362.39,104.93,155.65
WORST,Q1,2022-03-31,2752312.35,105.18,155.85
WORST,Q2,2022-04-30,2686757.75,106.63,156.06
WORST,Q2,2022-05-31,2621203.16,105.64,156.57
WORST,Q2,2022-06-30,2555648.56,106.05,156.98
WORST,Q3,2022-07-31,2526161.66,105.92,157.64
WORST,Q3,2022-08-31,2496674.75,105.73,158.30
WORST,Q3,2022-09-30,2467187.85,107.41,159.12
WORST,Q4,2022-10-31,2567361.81,108.20,159.88
WORST,Q4,2022-11-30,2667535.77,108.51,160.24
WORST,Q4,2022-12-31,2767709.72,108.10,160.49
WORST,Q5,2023-01-31,2805434.99,107.97,156.94
WORST,Q5,2023-02-28,2817722.29,106.98,156.99
WORST,Q5,2023-03-31,2830009.60,107.23,157.20
WORST,Q6,2023-04-30,2762604.41,108.71,157.41
WORST,Q6,2023-05-31,2695199.22,107.71,157.92
WORST,Q6,2023-06-30,2627794.03,108.12,158.33
WORST,Q7,2023-07-31,2597474.72,107.99,159.00
WORST,Q7,2023-08-31,2567155.40,107.79,159.67
WORST,Q7,2023-09-30,2536836.09,109.50,160.49
WORST,Q8,2023-10-31,2639837.94,110.31,161.26
WORST,Q8,2023-11-30,2742839.79,110.63,161.62
WORST,Q8,2023-12-31,2845841.64,110.21,161.88
