Date,NPLRatio
2010-03-01,0.0252
2010-06-01,0.0242
2010-09-01,0.0228
2010-12-01,0.0191
2011-03-01,0.0176
2011-06-01,0.0163
2011-09-01,0.0146
2011-12-01,0.0135
2012-03-01,0.0132
2012-06-01,0.0125
2012-09-01,0.0117
2012-12-01,0.0101
2013-03-01,0.0097
2013-06-01,0.01
2013-09-01,0.0103
2013-12-01,0.0102
2014-03-01,0.0108
2014-06-01,0.011
2014-09-01,0.0118
2014-12-01,0.0108
2015-03-01,0.0115
2015-06-01,0.0118
2015-09-01,0.0127
2015-12-01,0.0121
2016-03-01,0.0124
2016-06-01,0.0129
2016-09-01,0.0137
2016-12-01,0.0133
2017-03-01,0.0138
2017-06-01,0.0137
2017-09-01,0.014
2017-12-01,0.0139
2018-03-01,0.014
2018-06-01,0.0143
2018-09-01,0.0144
2018-12-01,0.0141
2019-03-01,0.0142
2019-06-01,0.0146
2019-09-01,0.015
2019-12-01,0.0153
