Rating,Rating12,Count
1,1,1029
1,2,571
1,3,667
1,4,573
1,5,592
1,6,412
1,7,420
1,8,126
1,9,73
1,10,31
1,11,9
1,12,114
2,1,3753
2,2,3450
2,3,3945
2,4,4718
2,5,5536
2,6,4220
2,7,3517
2,8,1356
2,9,1017
2,10,466
2,11,208
2,12,521
3,1,4929
3,2,5050
3,3,6587
3,4,8659
3,5,10970
3,6,8954
3,7,7337
3,8,3117
3,9,2506
3,10,1280
3,11,441
3,12,2590
4,1,7344
4,2,7707
4,3,11295
4,4,16176
4,5,21065
4,6,17484
4,7,14186
4,8,6355
4,9,6325
4,10,4045
4,11,1639
4,12,9591
5,1,4251
5,2,4800
5,3,7206
5,4,10957
5,5,15111
5,6,12579
5,7,10156
5,8,4946
5,9,5692
5,10,4011
5,11,1586
5,12,11001
6,1,2560
6,2,2588
6,3,4161
6,4,6793
6,5,9654
6,6,8707
6,7,7653
6,8,3643
6,9,4602
6,10,3552
6,11,1434
6,12,11410
7,1,1667
7,2,1948
7,3,2810
7,4,4671
7,5,7321
7,6,6658
7,7,6338
7,8,3365
7,9,4582
7,10,3219
7,11,1350
7,12,12900
8,1,1189
8,2,1061
8,3,1667
8,4,3004
8,5,4574
8,6,4975
8,7,5009
8,8,2503
8,9,3981
8,10,2921
8,11,1230
8,12,13826
9,1,653
9,2,467
9,3,704
9,4,1445
9,5,2342
9,6,2899
9,7,3103
9,8,1700
9,9,3307
9,10,2319
9,11,1103
9,12,17496
10,1,62
10,2,1
10,3,1
10,4,4
10,5,86
10,6,8
10,7,47
10,8,34
10,9,2
10,10,26
10,11,15
10,12,3940
11,1,0
11,2,0
11,3,0
11,4,0
11,5,3
11,6,67
11,7,57
11,8,1
11,9,24
11,10,9
11,11,2
11,12,2045
12,1,0
12,2,0
12,3,25
12,4,0
12,5,97
12,6,7
12,7,65
12,8,2
12,9,44
12,10,0
12,11,52
12,12,1090
