Date,Segment,Amount,NPLRatio
2006-01-01,ThaiBanks,,
2006-02-01,ThaiBanks,,
2006-03-01,ThaiBanks,,
2006-04-01,ThaiBanks,,
2006-05-01,ThaiBanks,,
2006-06-01,ThaiBanks,,
2006-07-01,ThaiBanks,,
2006-08-01,ThaiBanks,,
2006-09-01,ThaiBanks,,
2006-10-01,ThaiBanks,,
2006-11-01,ThaiBanks,,
2006-12-01,ThaiBanks,228212,0.0447
2007-01-01,ThaiBanks,,
2007-02-01,ThaiBanks,,
2007-03-01,ThaiBanks,235210,0.0457
2007-04-01,ThaiBanks,,
2007-05-01,ThaiBanks,,
2007-06-01,ThaiBanks,249505,0.0479
2007-07-01,ThaiBanks,,
2007-08-01,ThaiBanks,,
2007-09-01,ThaiBanks,254784,0.0483
2007-10-01,ThaiBanks,,
2007-11-01,ThaiBanks,,
2007-12-01,ThaiBanks,232467,0.0427
2008-01-01,ThaiBanks,,
2008-02-01,ThaiBanks,,
2008-03-01,ThaiBanks,244476,0.0409
2008-04-01,ThaiBanks,,
2008-05-01,ThaiBanks,,
2008-06-01,ThaiBanks,228046,0.0377
2008-07-01,ThaiBanks,,
2008-08-01,ThaiBanks,,
2008-09-01,ThaiBanks,225997,0.0359
2008-10-01,ThaiBanks,,
2008-11-01,ThaiBanks,,
2008-12-01,ThaiBanks,212779,0.0319
2009-01-01,ThaiBanks,,
2009-02-01,ThaiBanks,,
2009-03-01,ThaiBanks,225903,0.0336
2009-04-01,ThaiBanks,,
2009-05-01,ThaiBanks,,
2009-06-01,ThaiBanks,219778,0.0333
2009-07-01,ThaiBanks,,
2009-08-01,ThaiBanks,,
2009-09-01,ThaiBanks,214254,0.0323
2009-10-01,ThaiBanks,,
2009-11-01,ThaiBanks,,
2009-12-01,ThaiBanks,201066,0.0296
2010-01-01,ThaiBanks,,
2010-02-01,ThaiBanks,,
2010-03-01,ThaiBanks,197243,0.0279
2010-04-01,ThaiBanks,,
2010-05-01,ThaiBanks,,
2010-06-01,ThaiBanks,186537,0.0266
2010-07-01,ThaiBanks,,
2010-08-01,ThaiBanks,,
2010-09-01,ThaiBanks,181360,0.0251
2010-10-01,ThaiBanks,,
2010-11-01,ThaiBanks,,
2010-12-01,ThaiBanks,161823,0.0212
2011-01-01,ThaiBanks,,
2011-02-01,ThaiBanks,,
2011-03-01,ThaiBanks,160383,0.0195
2011-04-01,ThaiBanks,,
2011-05-01,ThaiBanks,,
2011-06-01,ThaiBanks,152514,0.0183
2011-07-01,ThaiBanks,,
2011-08-01,ThaiBanks,,
2011-09-01,ThaiBanks,136167,0.0163
2011-10-01,ThaiBanks,,
2011-11-01,ThaiBanks,,
2011-12-01,ThaiBanks,127294,0.0148
2012-01-01,ThaiBanks,,
2012-02-01,ThaiBanks,,
2012-03-01,ThaiBanks,129528,0.0145
2012-04-01,ThaiBanks,,
2012-05-01,ThaiBanks,,
2012-06-01,ThaiBanks,126102,0.0138
2012-07-01,ThaiBanks,,
2012-08-01,ThaiBanks,,
2012-09-01,ThaiBanks,122837,0.0127
2012-10-01,ThaiBanks,,
2012-11-01,ThaiBanks,,
2012-12-01,ThaiBanks,110619,0.011
2013-01-01,ThaiBanks,,
2013-02-01,ThaiBanks,,
2013-03-01,ThaiBanks,110787,0.0106
2013-04-01,ThaiBanks,,
2013-05-01,ThaiBanks,,
2013-06-01,ThaiBanks,116845,0.011
2013-07-01,ThaiBanks,,
2013-08-01,ThaiBanks,,
2013-09-01,ThaiBanks,120220,0.0112
2013-10-01,ThaiBanks,,
2013-11-01,ThaiBanks,,
2013-12-01,ThaiBanks,122138,0.011
2014-01-01,ThaiBanks,,
2014-02-01,ThaiBanks,,
2014-03-01,ThaiBanks,130572,0.0118
2014-04-01,ThaiBanks,,
2014-05-01,ThaiBanks,,
2014-06-01,ThaiBanks,133105,0.012
2014-07-01,ThaiBanks,,
2014-08-01,ThaiBanks,,
2014-09-01,ThaiBanks,144507,0.0128
2014-10-01,ThaiBanks,,
2014-11-01,ThaiBanks,,
2014-12-01,ThaiBanks,136114,0.0117
2015-01-01,ThaiBanks,,
2015-02-01,ThaiBanks,,
2015-03-01,ThaiBanks,147207,0.0122
2015-04-01,ThaiBanks,,
2015-05-01,ThaiBanks,,
2015-06-01,ThaiBanks,151787,0.0125
2015-07-01,ThaiBanks,,
2015-08-01,ThaiBanks,,
2015-09-01,ThaiBanks,160736,0.0134
2015-10-01,ThaiBanks,,
2015-11-01,ThaiBanks,,
2015-12-01,ThaiBanks,156245,0.0128
2016-01-01,ThaiBanks,,
2016-02-01,ThaiBanks,,
2016-03-01,ThaiBanks,164564,0.0132
2016-04-01,ThaiBanks,,
2016-05-01,ThaiBanks,,
2016-06-01,ThaiBanks,173950,0.0138
2016-07-01,ThaiBanks,,
2016-08-01,ThaiBanks,,
2016-09-01,ThaiBanks,182864,0.0146
2016-10-01,ThaiBanks,,
2016-11-01,ThaiBanks,,
2016-12-01,ThaiBanks,177054,0.0141
2017-01-01,ThaiBanks,,
2017-02-01,ThaiBanks,,
2017-03-01,ThaiBanks,185902,0.0147
2017-04-01,ThaiBanks,,
2017-05-01,ThaiBanks,,
2017-06-01,ThaiBanks,188594,0.0145
2017-07-01,ThaiBanks,,
2017-08-01,ThaiBanks,,
2017-09-01,ThaiBanks,197722,0.0149
2017-10-01,ThaiBanks,,
2017-11-01,ThaiBanks,,
2017-12-01,ThaiBanks,199340,0.0146
2018-01-01,ThaiBanks,,
2018-02-01,ThaiBanks,,
2018-03-01,ThaiBanks,207944,0.0148
2018-04-01,ThaiBanks,,
2018-05-01,ThaiBanks,,
2018-06-01,ThaiBanks,210236,0.015
2018-07-01,ThaiBanks,,
2018-08-01,ThaiBanks,,
2018-09-01,ThaiBanks,211639,0.0152
2018-10-01,ThaiBanks,,
2018-11-01,ThaiBanks,,
2018-12-01,ThaiBanks,207588,0.0148
2019-01-01,ThaiBanks,,
2019-02-01,ThaiBanks,,
2019-03-01,ThaiBanks,213883,0.015
2019-04-01,ThaiBanks,,
2019-05-01,ThaiBanks,,
2019-06-01,ThaiBanks,217084,0.0153
2019-07-01,ThaiBanks,,
2019-08-01,ThaiBanks,,
2019-09-01,ThaiBanks,227659,0.0158
2019-10-01,ThaiBanks,,
2019-11-01,ThaiBanks,,
2019-12-01,ThaiBanks,233660,0.0161
2006-01-01,ForeignBanks,,
2006-02-01,ForeignBanks,,
2006-03-01,ForeignBanks,,
2006-04-01,ForeignBanks,,
2006-05-01,ForeignBanks,,
2006-06-01,ForeignBanks,,
2006-07-01,ForeignBanks,,
2006-08-01,ForeignBanks,,
2006-09-01,ForeignBanks,,
2006-10-01,ForeignBanks,,
