Month,N,Aging,Aging12
1,13109,0,0
1,322,0,1
1,71,0,2
1,23,0,3
1,230,0,4
1,453,1,0
1,156,1,1
1,21,1,2
1,10,1,3
1,82,1,4
1,91,2,0
1,32,2,1
1,13,2,2
1,13,2,3
1,83,2,4
1,13,3,0
1,6,3,1
1,2,3,3
1,63,3,4
1,534,4,4
2,13394,0,0
2,499,0,1
2,73,0,2
2,39,0,3
2,146,0,4
2,249,1,0
2,84,1,1
2,20,1,2
2,9,1,3
2,39,1,4
2,50,2,0
2,30,2,1
2,13,2,2
2,7,2,3
2,54,2,4
2,15,3,0
2,1,3,1
2,4,3,2
2,5,3,3
2,51,3,4
2,708,4,4
3,13686,0,0
3,395,0,1
3,72,0,2
3,43,0,3
3,144,0,4
3,273,1,0
3,156,1,1
3,32,1,2
3,10,1,3
3,57,1,4
3,44,2,0
3,26,2,1
3,8,2,2
3,6,2,3
3,37,2,4
3,6,3,0
3,3,3,1
3,4,3,2
3,3,3,3
3,45,3,4
3,725,4,4
4,14050,0,0
4,403,0,1
4,82,0,2
4,23,0,3
4,157,0,4
4,262,1,0
4,196,1,1
4,31,1,2
4,11,1,3
4,80,1,4
4,47,2,0
4,24,2,1
4,10,2,2
4,5,2,3
4,28,2,4
4,4,3,0
4,6,3,1
4,2,3,2
4,5,3,3
4,35,3,4
4,736,4,4
5,14555,0,0
5,352,0,1
5,81,0,2
5,33,0,3
5,161,0,4
5,244,1,0
5,144,1,1
5,22,1,2
5,3,1,3
5,78,1,4
5,35,2,0
5,19,2,1
5,10,2,2
5,2,2,3
5,50,2,4
5,5,3,0
5,4,3,1
5,2,3,2
5,4,3,3
5,31,3,4
5,736,4,4
6,14853,0,0
6,365,0,1
6,73,0,2
6,40,0,3
6,160,0,4
6,240,1,0
6,156,1,1
6,28,1,2
6,13,1,3
6,82,1,4
6,29,2,0
6,10,2,1
6,9,2,2
6,2,2,3
6,52,2,4
6,2,3,0
6,6,3,1
6,4,3,2
6,2,3,3
6,37,3,4
6,738,4,4
7,15159,0,0
7,316,0,1
7,75,0,2
7,30,0,3
7,171,0,4
7,301,1,0
7,160,1,1
7,34,1,2
7,13,1,3
7,81,1,4
7,34,2,0
7,20,2,1
7,10,2,2
7,2,2,3
7,49,2,4
7,7,3,0
7,6,3,1
7,1,3,2
7,2,3,3
7,43,3,4
7,755,4,4
8,15693,0,0
8,324,0,1
8,101,0,2
8,29,0,3
8,203,0,4
8,241,1,0
8,157,1,1
8,30,1,2
8,12,1,3
8,94,1,4
8,37,2,0
8,13,2,1
8,15,2,2
8,4,2,3
8,60,2,4
8,7,3,0
8,3,3,1
8,4,3,2
8,2,3,3
8,41,3,4
8,636,4,4
9,15942,0,0
9,429,0,1
9,99,0,2
9,39,0,3
9,203,0,4
9,281,1,0
9,182,1,1
9,41,1,2
9,17,1,3
9,88,1,4
9,32,2,0
9,14,2,1
9,16,2,2
9,6,2,3
9,66,2,4
9,6,3,0
9,5,3,1
9,2,3,2
9,3,3,3
9,55,3,4
9,634,4,4
10,16502,0,0
10,451,0,1
10,95,0,2
10,50,0,3
10,220,0,4
10,250,1,0
10,185,1,1
10,32,1,2
10,13,1,3
10,106,1,4
10,38,2,0
10,17,2,1
10,11,2,2
10,5,2,3
10,59,2,4
10,11,3,0
10,4,3,1
10,3,3,2
10,1,3,3
10,61,3,4
10,641,4,4
11,17089,0,0
11,407,0,1
11,86,0,2
11,51,0,3
11,256,0,4
11,263,1,0
11,163,1,1
11,27,1,2
11,18,1,3
11,99,1,4
11,28,2,0
11,16,2,1
11,14,2,2
11,3,2,3
11,69,2,4
11,7,3,0
11,3,3,1
11,3,3,2
11,4,3,3
11,51,3,4
11,678,4,4
12,17779,0,0
12,340,0,1
12,92,0,2
12,48,0,3
12,311,0,4
12,209,1,0
12,109,1,1
12,16,1,2
12,16,1,3
12,77,1,4
12,43,2,0
12,11,2,1
12,12,2,2
12,5,2,3
12,82,2,4
12,13,3,0
12,4,3,1
12,1,3,2
12,1,3,3
12,61,3,4
12,660,4,4
13,18163,0,0
13,469,0,1
13,84,0,2
13,55,0,3
13,325,0,4
13,304,1,0
13,187,1,1
13,29,1,2
13,10,1,3
13,106,1,4
13,28,2,0
13,18,2,1
13,7,2,2
13,7,2,3
13,74,2,4
13,5,3,0
13,4,3,1
13,3,3,2
13,4,3,3
13,68,3,4
13,673,4,4
14,18546,0,0
14,495,0,1
14,111,0,2
14,48,0,3
14,327,0,4
14,350,1,0
14,220,1,1
14,28,1,2
14,16,1,3
14,127,1,4
14,40,2,0
14,21,2,1
14,11,2,2
14,9,2,3
14,71,2,4
14,7,3,0
14,1,3,1
14,6,3,2
14,2,3,3
14,69,3,4
14,683,4,4
15,19325,0,0
15,443,0,1
15,119,0,2
15,64,0,3
15,346,0,4
15,333,1,0
15,182,1,1
15,35,1,2
15,12,1,3
15,140,1,4
15,33,2,0
15,14,2,1
15,12,2,2
15,8,2,3
15,78,2,4
15,8,3,0
15,1,3,1
15,3,3,2
15,2,3,3
15,76,3,4
15,690,4,4
16,19965,0,0
16,561,0,1
16,105,0,2
16,54,0,3
16,390,0,4
16,323,1,0
16,216,1,1
16,31,1,2
16,16,1,3
16,135,1,4
16,36,2,0
16,20,2,1
16,11,2,2
16,5,2,3
16,98,2,4
16,3,3,0
16,3,3,1
16,1,3,2
16,2,3,3
16,51,3,4
16,726,4,4
17,20868,0,0
17,507,0,1
17,115,0,2
17,66,0,3
17,427,0,4
17,280,1,0
17,170,1,1
17,37,1,2
17,18,1,3
17,127,1,4
17,19,2,0
17,7,2,1
17,9,2,2
17,8,2,3
17,99,2,4
17,10,3,0
17,4,3,1
17,1,3,2
17,1,3,3
17,68,3,4
17,741,4,4
18,21589,0,0
18,536,0,1
18,141,0,2
18,75,0,3
18,454,0,4
18,292,1,0
18,163,1,1
18,40,1,2
18,23,1,3
18,164,1,4
18,32,2,0
18,12,2,1
18,10,2,2
18,7,2,3
18,89,2,4
18,2,3,0
18,5,3,1
18,1,3,2
18,1,3,3
18,78,3,4
18,755,4,4
19,22249,0,0
19,613,0,1
19,138,0,2
19,86,0,3
19,463,0,4
19,289,1,0
19,163,1,1
19,31,1,2
19,22,1,3
19,180,1,4
19,35,2,0
19,11,2,1
19,8,2,2
19,3,2,3
19,94,2,4
19,2,3,0
19,4,3,1
19,1,3,2
19,3,3,3
19,75,3,4
19,806,4,4
20,23078,0,0
20,616,0,1
20,148,0,2
20,71,0,3
20,519,0,4
20,245,1,0
20,171,1,1
20,30,1,2
20,19,1,3
20,151,1,4
20,33,2,0
20,10,2,1
20,4,2,2
20,5,2,3
20,133,2,4
20,5,3,0
20,2,3,1
20,4,3,2
20,1,3,3
20,65,3,4
20,833,4,4
21,23569,0,0
21,676,0,1
21,171,0,2
21,67,0,3
21,509,0,4
21,319,1,0
21,216,1,1
21,45,1,2
21,15,1,3
21,194,1,4
21,32,2,0
21,16,2,1
21,7,2,2
21,5,2,3
21,141,2,4
21,4,3,0
21,2,3,1
21,1,3,2
21,3,3,3
21,97,3,4
21,871,4,4
22,24371,0,0
22,585,0,1
22,171,0,2
22,76,0,3
22,550,0,4
22,378,1,0
22,213,1,1
22,45,1,2
22,17,1,3
22,179,1,4
22,31,2,0
22,11,2,1
22,15,2,2
22,2,2,3
22,130,2,4
22,3,3,0
22,2,3,2
22,5,3,3
22,87,3,4
22,937,4,4
23,24971,0,0
23,565,0,1
23,141,0,2
23,87,0,3
23,548,0,4
23,329,1,0
23,174,1,1
23,38,1,2
23,13,1,3
23,196,1,4
23,35,2,0
23,21,2,1
23,10,2,2
23,2,2,3
23,114,2,4
23,4,3,0
23,1,3,1
23,1,3,2
23,1,3,3
23,108,3,4
23,993,4,4
24,25849,0,0
24,494,0,1
24,148,0,2
24,67,0,3
24,621,0,4
24,235,1,0
24,124,1,1
24,44,1,2
24,11,1,3
24,167,1,4
24,40,2,0
24,12,2,1
24,8,2,2
24,4,2,3
24,104,2,4
24,10,3,0
24,2,3,2
24,1,3,3
24,109,3,4
24,1042,4,4
25,26605,0,0
25,611,0,1
25,149,0,2
25,61,0,3
25,609,0,4
25,357,1,0
25,208,1,1
25,41,1,2
25,18,1,3
25,198,1,4
25,36,2,0
25,17,2,1
25,7,2,2
25,3,2,3
25,121,2,4
25,11,3,0
25,3,3,1
25,2,3,2
25,3,3,3
25,96,3,4
25,1101,4,4
26,27260,0,0
26,653,0,1
26,162,0,2
26,75,0,3
26,624,0,4
26,387,1,0
26,232,1,1
26,50,1,2
26,17,1,3
26,236,1,4
26,40,2,0
26,18,2,1
26,9,2,2
26,5,2,3
26,126,2,4
26,7,3,0
26,2,3,1
26,3,3,2
26,1,3,3
26,109,3,4
26,1127,4,4
27,28291,0,0
27,636,0,1
27,192,0,2
27,83,0,3
27,693,0,4
27,304,1,0
27,176,1,1
27,44,1,2
27,21,1,3
27,217,1,4
27,42,2,0
27,18,2,1
27,12,2,2
27,6,2,3
27,132,2,4
27,6,3,0
27,1,3,1
27,2,3,2
27,2,3,3
27,105,3,4
27,1151,4,4
28,29045,0,0
28,730,0,1
28,167,0,2
28,105,0,3
28,675,0,4
28,433,1,0
28,201,1,1
28,42,1,2
28,35,1,3
28,262,1,4
28,31,2,0
28,11,2,1
28,6,2,2
28,7,2,3
28,124,2,4
28,8,3,0
28,2,3,1
28,3,3,2
28,99,3,4
28,1197,4,4
29,29962,0,0
29,667,0,1
29,233,0,2
29,103,0,3
29,699,0,4
29,333,1,0
29,197,1,1
29,41,1,2
29,21,1,3
29,275,1,4
29,37,2,0
29,13,2,1
29,8,2,2
29,8,2,3
29,140,2,4
29,8,3,0
29,2,3,1
29,1,3,2
29,122,3,4
29,1252,4,4
30,30424,0,0
30,709,0,1
30,233,0,2
30,121,0,3
30,684,0,4
30,377,1,0
30,170,1,1
30,43,1,2
30,37,1,3
30,284,1,4
30,48,2,0
30,20,2,1
30,12,2,2
30,6,2,3
30,162,2,4
30,9,3,0
30,4,3,1
30,4,3,2
30,2,3,3
30,135,3,4
30,1309,4,4
31,30936,0,0
31,746,0,1
31,226,0,2
31,100,0,3
31,731,0,4
31,402,1,0
31,174,1,1
31,67,1,2
31,34,1,3
31,282,1,4
31,43,2,0
31,21,2,1
31,16,2,2
31,8,2,3
31,176,2,4
31,7,3,0
31,4,3,1
31,2,3,2
31,2,3,3
31,149,3,4
31,1345,4,4
32,31710,0,0
32,722,0,1
32,240,0,2
32,134,0,3
32,771,0,4
32,410,1,0
32,175,1,1
32,56,1,2
32,37,1,3
32,303,1,4
32,37,2,0
32,18,2,1
32,16,2,2
32,7,2,3
32,195,2,4
32,6,3,0
32,8,3,1
32,4,3,2
32,2,3,3
32,128,3,4
32,1401,4,4
33,32041,0,0
33,842,0,1
33,298,0,2
33,131,0,3
33,766,0,4
33,405,1,0
33,177,1,1
33,75,1,2
33,40,1,3
33,358,1,4
33,53,2,0
33,30,2,1
33,20,2,2
33,7,2,3
33,191,2,4
33,7,3,0
33,3,3,1
33,3,3,2
33,4,3,3
33,131,3,4
33,1503,4,4
34,32962,0,0
34,760,0,1
34,271,0,2
34,132,0,3
34,906,0,4
34,412,1,0
34,179,1,1
34,49,1,2
34,22,1,3
34,297,1,4
34,42,2,0
34,19,2,1
34,17,2,2
34,10,2,3
34,207,2,4
34,9,3,0
34,4,3,1
34,3,3,2
34,3,3,3
34,143,3,4
34,1511,4,4
35,33507,0,0
35,768,0,1
35,250,0,2
35,128,0,3
35,908,0,4
35,348,1,0
35,166,1,1
35,45,1,2
35,30,1,3
35,312,1,4
35,43,2,0
35,19,2,1
35,11,2,2
35,10,2,3
35,160,2,4
35,10,3,0
35,7,3,1
35,3,3,2
35,2,3,3
35,137,3,4
35,1609,4,4
36,34171,0,0
36,665,0,1
36,255,0,2
36,113,0,3
36,949,0,4
36,270,1,0
36,121,1,1
36,30,1,2
36,33,1,3
36,289,1,4
36,54,2,0
36,12,2,1
36,13,2,2
36,7,2,3
36,163,2,4
36,7,3,0
36,3,3,1
36,5,3,2
36,4,3,3
36,115,3,4
36,1670,4,4
37,34344,0,0
37,801,0,1
37,230,0,2
37,94,0,3
37,944,0,4
37,340,1,0
37,205,1,1
37,43,1,2
37,30,1,3
37,363,1,4
37,41,2,0
37,15,2,1
37,8,2,2
37,9,2,3
37,165,2,4
37,10,3,0
37,2,3,1
37,2,3,2
37,4,3,3
37,100,3,4
37,1707,4,4
38,34362,0,0
38,875,0,1
38,250,0,2
38,123,0,3
38,916,0,4
38,401,1,0
38,204,1,1
38,47,1,2
38,25,1,3
38,374,1,4
38,48,2,0
38,16,2,1
38,14,2,2
38,11,2,3
38,185,2,4
38,7,3,0
38,3,3,1
38,2,3,2
38,3,3,3
38,108,3,4
38,1785,4,4
39,34774,0,0
39,821,0,1
39,279,0,2
39,112,0,3
39,928,0,4
39,352,1,0
39,187,1,1
39,40,1,2
39,21,1,3
39,350,1,4
39,47,2,0
39,17,2,1
39,9,2,2
39,13,2,3
39,219,2,4
39,7,3,0
39,3,3,1
39,3,3,2
39,3,3,3
39,132,3,4
39,1829,4,4
40,35022,0,0
40,845,0,1
40,273,0,2
40,134,0,3
40,935,0,4
