Segment,times,Aging,PD
CU,1,0,0.005297119900043877
CU,2,0,0.022210497254508882
CU,3,0,0.054641309199828965
CU,4,0,0.10139782273253271
CU,5,0,0.15857630356820843
CU,6,0,0.22185423520237332
CU,7,0,0.287547588448019
CU,8,0,0.3528922173610633
CU,9,0,0.41598467685724616
CU,10,0,0.4756153908749489
HU,1,0,0.0037002364928876695
HU,2,0,0.016583722782518334
HU,3,0,0.04273958303880275
HU,4,0,0.08177322760977423
HU,5,0,0.13073952340221281
HU,6,0,0.18610591034527113
HU,7,0,0.24471743514255861
HU,8,0,0.3041029560235404
HU,9,0,0.3624750069369481
HU,10,0,0.41862069728803736
CU,1,1,0.0382575100171291
CU,2,1,0.11931094392767021
CU,3,1,0.22246789493082264
CU,4,1,0.3266738936718506
CU,5,1,0.4217038792679031
CU,6,1,0.5044266960823879
CU,7,1,0.575007885196914
CU,8,1,0.6348072779007234
CU,9,1,0.685434221697541
CU,10,1,0.7283871537406373
HU,1,1,0.03209191157489378
HU,2,1,0.1081240946614836
HU,3,1,0.20744453969081672
HU,4,1,0.3088189588747282
HU,5,1,0.40172483517222757
HU,6,1,0.48280730828686963
HU,7,1,0.5521098452324803
HU,8,1,0.6109375901419521
HU,9,1,0.6608766317505488
HU,10,1,0.7034112786666568
CU,1,2,0.09835567703588009
CU,2,2,0.23413907196284472
CU,3,2,0.3585055325780017
CU,4,2,0.4627029230109412
CU,5,2,0.5481338953483755
CU,6,2,0.6180813900981921
CU,7,2,0.6756318373447614
CU,8,2,0.7232917249563676
CU,9,2,0.7630222647496147
CU,10,2,0.796348907607929
HU,1,2,0.09591038875466724
HU,2,2,0.23395839672402163
HU,3,2,0.35917631876642336
HU,4,2,0.4626469482222601
HU,5,2,0.5464848826350346
HU,6,2,0.6145298662390083
HU,7,2,0.6701881345808076
HU,8,2,0.7161269248217691
HU,9,2,0.7543784590231041
HU,10,2,0.7864912696352948
CU,1,3,0.37008871989860587
CU,2,3,0.5466610904887137
CU,3,3,0.6464825999155105
CU,4,3,0.7122406576383589
CU,5,3,0.7604294591557537
CU,6,3,0.7980248690449936
CU,7,3,0.8283835344454606
CU,8,3,0.8533796511612814
CU,9,3,0.8742090786943075
CU,10,3,0.8917115272948084
HU,1,3,0.3847834884662081
HU,2,3,0.5587743863272382
HU,3,3,0.6538538286224811
HU,4,3,0.7156352108076572
HU,5,3,0.7608150893392762
HU,6,3,0.7961390206872097
HU,7,3,0.8247598839741486
HU,8,3,0.848419840583553
HU,9,3,0.8682309862466637
HU,10,3,0.8849757989176463
