Date,FDI,HD,GDP,RSI,CPI,Wage,UR,OP,Im,Ex,PCI,CCI,API,PII,MPI,PIR
01/03/93,,,1067301,,50.3,,,,,,,,,,,
01/04/93,,,,,50.9,,,,,,,,,,,
01/05/93,,,,,51,,,,,,,,,,,
01/06/93,,,1039924,,51.1,,,,,,,,,,,
01/07/93,,,,,51.6,,,,,,,,,,,
01/08/93,,,,,51.6,,,,,,,,,,,
01/09/93,,,1086494,,52.1,,,,,,,,,,,
01/10/93,,,,,52.1,,,,,,,,,,,
01/11/93,,,,,51.9,,,,,,,,,,,
01/12/93,,,1147308,,52.1,,,,,,,,,,,
01/01/94,,,,,52.5,,,,,,,,,,,
01/02/94,,,,,52.6,,,,,,,,,,,
01/03/94,,,1179517,,53,,,,,,,,,,,
01/04/94,,,,,53.2,,,,,,,,,,,
01/05/94,,,,,53.6,,,,,,,,,,,
01/06/94,,,1146232,,54,,,,,,,,,,,
01/07/94,,,,,54.1,,,,,,,,,,,
01/08/94,,,,,54.3,,,,,,,,,,,
01/09/94,,,1135828,,54.9,,,,,,,,,,,
01/10/94,,,,,55,,,,,,,,,,,
01/11/94,,,,,54.8,,,,,,,,,,,
01/12/94,,,1226603,,54.6,,,,,,,,,,,
01/01/95,,,,,55,,,,,,,,,,,
01/02/95,,,,,55.2,,,,,,,,,,,
01/03/95,,,1265610,,55.5,,,,,,,,,,,
01/04/95,,,,,55.9,,,,,,,,,,,
01/05/95,,,,,56.5,,,,,,,,,,,
01/06/95,,,1256367,,56.9,,,,,,,,,,,
01/07/95,,,,,57.1,,,,,,,,,,,
01/08/95,,,,,57.6,,,,,,,,,,,
01/09/95,,,1231962,,58.1,,,,,,,,,,,
01/10/95,,,,,58.7,,,,,,,,,,,
01/11/95,,,,,58.7,,,,,,,,,,,
01/12/95,,,1314936,,58.7,,,,,,,,,,,
01/01/96,,,,,59,,,,,,,,,,,
01/02/96,,,,,59.4,,,,,,,,,,,
01/03/96,,,1313862,,59.5,,,,,,,,,,,
01/04/96,,,,,59.8,,,,,,,,,,,
01/05/96,,,,,60,,,,,,,,,,,
01/06/96,,,1336374,,60,,,,,,,,,,,
01/07/96,,,,,60.2,,,,,,,,,,,
01/08/96,,,,,60.8,,,,,,,,,,,
01/09/96,,,1323012,,60.9,,,,,,,,,,,
01/10/96,,,,,61.1,,,,,,,,,,,
01/11/96,,,,,61.5,,,,,,,,,,,
01/12/96,,,1382117,,61.5,,,,,,,,,,,
01/01/97,,,,,61.6,,,,,,,,,,,
01/02/97,,,,,62,,,,,,,,,,,
01/03/97,,,1318993,,62.3,,,,,,,,,,,
01/04/97,,,,,62.4,,,,,,,,,,,
01/05/97,,,,,62.6,,,,,,,,,,,
01/06/97,,,1309139,,62.7,,,,,,,,,,,
01/07/97,,,,,63.1,,,,,,,,,,,
01/08/97,,,,,64.8,,,,,,,,,,,
01/09/97,,,1282881,,65.1,,,,,,,,,,,
01/10/97,,,,,65.7,,,,,,,,,,,
01/11/97,,,,,66.1,,,,,,,,,,,
01/12/97,,,1296888,,66.1,,,,,,,,,,,
01/01/98,,,,,66.9,,,,,,,,,,,
01/02/98,,,,,67.5,,,,,,,,,,,
01/03/98,,,1244216,,68.1,,,,,,,,,,,
01/04/98,,,,,68.6,,,,,,,,,,,
01/05/98,,,,,69,,,,,,,,,,,
01/06/98,,,1145060,,69.3,,,,,,,,,,,
01/07/98,,,,,69.4,,,,,,,,,,,
01/08/98,,,,,69.7,,,,,,,,,,,
01/09/98,,,1155997,,69.5,,,,,,,,,,,
01/10/98,,,,,69.4,,,,,,,,,,,
01/11/98,,,,,69.1,,,,,,,,,,,
01/12/98,,,1265055,,69,,,,,,,,,,,
01/01/99,,,,,69.1,,,,,,,,,,,
01/02/99,,,,,69.2,,,,,,,,,,,
01/03/99,,,1259716,,69,,,,,,,,,,,
01/04/99,,,,,69,,,,,,,,,,,
01/05/99,,,,,68.6,,,,,,,,,,,
01/06/99,,,1206997,,68.5,,,,,,,,,,,
01/07/99,,,,,68.7,,,,,,,,,,,
01/08/99,,,,,69,,,,,,,,,,,
