Variable,Type,Sign,Group
FDI,Norminal,-1,FDI
HD,Norminal,1,HD
GDP,Norminal,-1,GDP
RSI,Index,-1,RSI
CPI,Index,1,CPI
Wage,Norminal,-1,Wage
UR,Rate,1,UR
OP,Norminal,0,OP
Im,Norminal,-1,Im
Ex,Norminal,-1,Ex
PCI,Index,-1,PCI
CCI,Index,-1,CCI
API,Index,-1,API
PII,Index,-1,PII
MPI,Index,-1,MPI
PIR,Rate,1,PIR
FDI_LN,Norminal,-1,FDI
HD_LN,Norminal,1,HD
GDP_LN,Norminal,-1,GDP
RSI_LN,Index,-1,RSI
CPI_LN,Index,1,CPI
Wage_LN,Norminal,-1,Wage
UR_LN,Rate,1,UR
OP_LN,Norminal,0,OP
Im_LN,Norminal,-1,Im
Ex_LN,Norminal,-1,Ex
PCI_LN,Index,-1,PCI
CCI_LN,Index,-1,CCI
API_LN,Index,-1,API
PII_LN,Index,-1,PII
MPI_LN,Index,-1,MPI
PIR_LN,Rate,1,PIR
FDI_M3,Norminal,-1,FDI
FDI_M6,Norminal,-1,FDI
FDI_M9,Norminal,-1,FDI
FDI_M12,Norminal,-1,FDI
HD_M3,Norminal,1,HD
HD_M6,Norminal,1,HD
HD_M9,Norminal,1,HD
HD_M12,Norminal,1,HD
GDP_M3,Norminal,-1,GDP
GDP_M6,Norminal,-1,GDP
GDP_M9,Norminal,-1,GDP
GDP_M12,Norminal,-1,GDP
RSI_M3,Index,-1,RSI
RSI_M6,Index,-1,RSI
RSI_M9,Index,-1,RSI
RSI_M12,Index,-1,RSI
CPI_M3,Index,1,CPI
CPI_M6,Index,1,CPI
CPI_M9,Index,1,CPI
CPI_M12,Index,1,CPI
Wage_M3,Norminal,-1,Wage
Wage_M6,Norminal,-1,Wage
Wage_M9,Norminal,-1,Wage
Wage_M12,Norminal,-1,Wage
UR_M3,Rate,1,UR
UR_M6,Rate,1,UR
UR_M9,Rate,1,UR
UR_M12,Rate,1,UR
OP_M3,Norminal,0,OP
OP_M6,Norminal,0,OP
OP_M9,Norminal,0,OP
OP_M12,Norminal,0,OP
Im_M3,Norminal,-1,Im
Im_M6,Norminal,-1,Im
Im_M9,Norminal,-1,Im
Im_M12,Norminal,-1,Im
Ex_M3,Norminal,-1,Ex
Ex_M6,Norminal,-1,Ex
Ex_M9,Norminal,-1,Ex
Ex_M12,Norminal,-1,Ex
PCI_M3,Index,-1,PCI
PCI_M6,Index,-1,PCI
PCI_M9,Index,-1,PCI
PCI_M12,Index,-1,PCI
CCI_M3,Index,-1,CCI
CCI_M6,Index,-1,CCI
CCI_M9,Index,-1,CCI
CCI_M12,Index,-1,CCI
API_M3,Index,-1,API
API_M6,Index,-1,API
API_M9,Index,-1,API
API_M12,Index,-1,API
PII_M3,Index,-1,PII
PII_M6,Index,-1,PII
PII_M9,Index,-1,PII
PII_M12,Index,-1,PII
MPI_M3,Index,-1,MPI
MPI_M6,Index,-1,MPI
MPI_M9,Index,-1,MPI
MPI_M12,Index,-1,MPI
PIR_M3,Rate,1,PIR
PIR_M6,Rate,1,PIR
PIR_M9,Rate,1,PIR
PIR_M12,Rate,1,PIR
UR_C,Rate,1,UR
PIR_C,Rate,1,PIR
FDI_C,Norminal,-1,FDI
HD_C,Norminal,1,HD
GDP_C,Norminal,-1,GDP
RSI_C,Index,-1,RSI
CPI_C,Index,1,CPI
Wage_C,Norminal,-1,Wage
OP_C,Norminal,0,OP
Im_C,Norminal,-1,Im
Ex_C,Norminal,-1,Ex
PCI_C,Index,-1,PCI
CCI_C,Index,-1,CCI
API_C,Index,-1,API
PII_C,Index,-1,PII
MPI_C,Index,-1,MPI
FDI_lg1,Norminal,-1,FDI
FDI_lg2,Norminal,-1,FDI
FDI_lg3,Norminal,-1,FDI
FDI_lg4,Norminal,-1,FDI
FDI_lg5,Norminal,-1,FDI
FDI_lg6,Norminal,-1,FDI
FDI_lg7,Norminal,-1,FDI
