Segment,Aging,Monthkey,N,Bad
CU,0,1,17546,288.0
CU,0,2,16796,249.0
CU,0,3,17693,298.0
CU,0,4,17821,282.0
CU,0,5,17951,314.0
CU,0,6,18158,336.0
CU,0,7,18609,369.0
CU,0,8,18032,344.0
CU,0,9,18516,378.0
CU,0,10,18933,366.0
CU,0,11,18613,356.0
CU,0,12,19595,374.0
CU,0,13,19891,395.0
CU,0,14,19295,384.0
CU,0,15,20592,413.0
CU,0,16,20680,373.0
CU,0,17,20778,381.0
CU,0,18,21223,364.0
CU,0,19,21650,373.0
CU,0,20,21776,366.0
CU,0,21,21939,357.0
CU,0,22,22378,383.0
CU,0,23,22425,377.0
CU,0,24,23071,402.0
CU,0,25,23838,443.0
CU,0,26,23941,415.0
CU,0,27,24552,435.0
CU,0,28,24346,404.0
CU,0,29,24551,386.0
CU,0,30,24904,408.0
CU,0,31,25005,425.0
CU,0,32,25457,449.0
CU,0,33,25566,457.0
CU,0,34,25524,465.0
CU,0,35,25688,460.0
CU,0,36,26169,466.0
CU,0,37,26369,452.0
CU,0,38,26353,440.0
CU,0,39,26999,459.0
CU,0,40,26735,440.0
CU,0,41,27068,444.0
CU,0,42,27097,431.0
CU,0,43,27045,406.0
CU,0,44,27220,402.0
CU,0,45,27344,422.0
CU,0,46,27514,453.0
CU,0,47,27741,449.0
CU,0,48,28146,455.0
CU,0,49,29171,556.0
CU,0,50,29056,469.0
CU,0,51,29696,523.0
CU,0,52,29382,481.0
CU,0,53,29715,489.0
CU,0,54,29776,469.0
CU,0,55,29585,446.0
CU,0,56,29867,522.0
CU,0,57,29923,548.0
CU,0,58,30086,567.0
CU,0,59,30327,631.0
CU,1,1,2758,228.0
CU,1,2,3712,315.0
CU,1,3,2953,287.0
CU,1,4,2969,299.0
CU,1,5,2832,249.0
CU,1,6,2912,315.0
CU,1,7,2628,294.0
CU,1,8,3213,325.0
CU,1,9,2963,352.0
CU,1,10,2877,357.0
CU,1,11,3340,331.0
CU,1,12,2616,320.0
CU,1,13,2720,358.0
CU,1,14,3411,382.0
CU,1,15,2493,364.0
CU,1,16,2703,377.0
CU,1,17,2857,375.0
CU,1,18,2616,377.0
CU,1,19,2521,371.0
CU,1,20,2595,382.0
CU,1,21,2648,357.0
CU,1,22,2542,366.0
CU,1,23,2642,353.0
CU,1,24,2463,366.0
CU,1,25,2620,358.0
CU,1,26,2729,368.0
CU,1,27,2488,376.0
CU,1,28,2901,398.0
CU,1,29,2738,368.0
CU,1,30,2859,375.0
CU,1,31,2929,385.0
CU,1,32,2803,383.0
CU,1,33,2899,387.0
CU,1,34,2941,370.0
CU,1,35,3107,436.0
CU,1,36,2844,432.0
CU,1,37,2970,422.0
CU,1,38,3124,427.0
CU,1,39,2910,445.0
CU,1,40,3210,433.0
CU,1,41,3004,435.0
CU,1,42,3102,434.0
CU,1,43,3169,446.0
CU,1,44,3132,439.0
CU,1,45,3017,357.0
CU,1,46,3208,362.0
CU,1,47,3362,388.0
CU,1,48,3336,433.0
CU,1,49,3238,416.0
CU,1,50,3522,492.0
CU,1,51,3301,481.0
CU,1,52,3628,469.0
CU,1,53,3522,479.0
CU,1,54,3566,470.0
CU,1,55,3533,473.0
CU,1,56,3467,442.0
CU,1,57,3569,479.0
CU,1,58,3629,536.0
CU,1,59,3673,550.0
CU,2,1,1057,200.0
CU,2,2,1103,224.0
CU,2,3,1107,242.0
CU,2,4,1153,277.0
CU,2,5,1139,316.0
CU,2,6,998,259.0
CU,2,7,965,247.0
CU,2,8,1047,287.0
CU,2,9,1066,299.0
CU,2,10,1127,296.0
CU,2,11,1355,359.0
CU,2,12,1314,359.0
CU,2,13,1183,311.0
CU,2,14,1224,358.0
CU,2,15,1195,366.0
CU,2,16,1277,405.0
CU,2,17,1241,373.0
CU,2,18,1234,384.0
CU,2,19,1234,405.0
CU,2,20,1258,389.0
CU,2,21,1281,419.0
CU,2,22,1260,394.0
CU,2,23,1329,405.0
CU,2,24,1265,369.0
CU,2,25,1190,345.0
CU,2,26,1181,368.0
CU,2,27,1100,342.0
CU,2,28,1147,346.0
CU,2,29,1265,403.0
CU,2,30,1182,377.0
CU,2,31,1210,393.0
CU,2,32,1203,377.0
CU,2,33,1217,365.0
CU,2,34,1346,409.0
CU,2,35,1289,357.0
CU,2,36,1232,386.0
CU,2,37,1291,397.0
CU,2,38,1309,367.0
CU,2,39,1186,365.0
CU,2,40,1306,407.0
CU,2,41,1288,415.0
CU,2,42,1275,364.0
CU,2,43,1292,374.0
CU,2,44,1258,350.0
CU,2,45,1345,388.0
CU,2,46,1313,343.0
CU,2,47,1331,361.0
CU,2,48,1213,342.0
CU,2,49,1238,372.0
CU,2,50,1322,399.0
CU,2,51,1192,403.0
CU,2,52,1439,467.0
CU,2,53,1360,448.0
CU,2,54,1342,456.0
CU,2,55,1478,443.0
CU,2,56,1357,454.0
CU,2,57,1391,448.0
CU,2,58,1367,456.0
CU,2,59,1345,447.0
CU,3,1,195,99.0
CU,3,2,183,97.0
CU,3,3,158,93.0
CU,3,4,185,102.0
CU,3,5,193,110.0
CU,3,6,198,127.0
CU,3,7,174,123.0
CU,3,8,181,113.0
CU,3,9,167,108.0
CU,3,10,229,169.0
CU,3,11,266,167.0
CU,3,12,283,195.0
CU,3,13,276,188.0
CU,3,14,254,160.0
CU,3,15,228,170.0
CU,3,16,242,177.0
CU,3,17,296,214.0
CU,3,18,264,207.0
CU,3,19,244,191.0
