Segment,Rating,Rating12,N
SME,AA,AA,39
SME,AA,A+,3
SME,AA,BBB,1
SME,A+,Closed,14
SME,A+,A+,49
SME,A+,A,12
SME,A+,BBB+,18
SME,A+,BBB,12
SME,A+,CCC,12
SME,A,Closed,9
SME,A,A+,18
SME,A,A,51
SME,A,BBB+,54
SME,A,BBB,22
SME,A,BB+,27
SME,A,B+,11
SME,A,B,1
SME,A,CCC,11
SME,A,CC,1
SME,BBB+,Closed,7
SME,BBB+,A,78
SME,BBB+,BBB+,172
SME,BBB+,BBB,70
SME,BBB+,BB+,51
SME,BBB+,BB,28
SME,BBB+,B,25
SME,BBB+,CC,5
SME,BBB+,C+,12
SME,BBB,Closed,22
SME,BBB,A+,8
SME,BBB,A,44
SME,BBB,BBB+,94
SME,BBB,BBB,267
SME,BBB,BB+,169
SME,BBB,BB,69
SME,BBB,B+,33
SME,BBB,B,52
SME,BBB,CC,5
SME,BBB,C+,1
SME,BBB,Default,6
SME,BB+,Closed,29
SME,BB+,Closed,159
SME,BB+,A+,10
SME,BB+,A,12
SME,BB+,BBB+,44
SME,BB+,BBB,201
SME,BB+,BB+,1459
SME,BB+,BB,596
SME,BB+,B+,490
SME,BB+,B,233
SME,BB+,CCC,130
SME,BB+,CC,81
SME,BB+,C+,40
SME,BB+,C,32
SME,BB+,Default,35
SME,BB,Closed,29
SME,BB,Closed,279
SME,BB,A+,1
SME,BB,A,3
SME,BB,BBB,50
SME,BB,BB+,506
SME,BB,BB,983
SME,BB,B+,796
SME,BB,B,439
SME,BB,CCC,233
SME,BB,CC,143
SME,BB,C+,88
SME,BB,C,22
SME,BB,Default,58
SME,B+,Closed,10
SME,B+,Closed,521
SME,B+,A,12
SME,B+,BBB+,21
SME,B+,BBB,13
SME,B+,BB+,297
SME,B+,BB,696
SME,B+,B+,2444
SME,B+,B,1059
SME,B+,CCC,556
SME,B+,CC,322
SME,B+,C+,206
SME,B+,C,76
SME,B+,Default,130
SME,B,Closed,41
SME,B,Closed,350
SME,B,BB+,105
SME,B,BB,219
SME,B,B+,643
SME,B,B,1680
SME,B,CCC,519
SME,B,CC,404
SME,B,C+,305
SME,B,C,30
SME,B,Default,91
SME,CCC,Closed,22
SME,CCC,Closed,414
SME,CCC,BBB,12
SME,CCC,BB+,53
SME,CCC,BB,69
SME,CCC,B+,339
SME,CCC,B,425
SME,CCC,CCC,942
SME,CCC,CC,613
SME,CCC,C+,332
SME,CCC,C,134
SME,CCC,Default,88
SME,CC,Closed,11
SME,CC,Closed,270
SME,CC,BBB,4
SME,CC,BB+,44
SME,CC,BB,30
SME,CC,B+,175
SME,CC,B,295
SME,CC,CCC,487
SME,CC,CC,984
SME,CC,C+,642
SME,CC,C,144
SME,CC,Default,105
SME,C+,Closed,37
SME,C+,Closed,437
SME,C+,BB+,32
SME,C+,BB,3
SME,C+,B+,48
SME,C+,B,168
SME,C+,CCC,258
SME,C+,CC,454
SME,C+,C+,1529
SME,C+,C,605
SME,C+,Default,207
SME,C,Closed,9
SME,C,Closed,328
SME,C,B+,12
SME,C,B,4
SME,C,CCC,39
SME,C,CC,66
SME,C,C+,311
SME,C,C,1504
SME,C,Default,288
SME,Default,Closed,454
SME,Default,B,3
SME,Default,CCC,2
SME,Default,CC,3
SME,Default,C+,30
SME,Default,C,95
SME,Default,Default,3356
SME,BBB,BB+,12
SME,BB+,Closed,9
SME,BB+,BB+,125
SME,BB+,BB,66
SME,BB+,B+,95
SME,BB+,CCC,2
SME,BB,Closed,10
SME,BB,BB+,36
SME,BB,BB,68
SME,BB,B+,105
SME,BB,B,21
SME,BB,CCC,14
SME,BB,CC,12
SME,BB,Default,21
SME,B+,Closed,40
SME,B+,BB+,20
SME,B+,BB,92
SME,B+,B+,525
SME,B+,B,108
SME,B+,CCC,102
SME,B+,CC,67
SME,B+,C+,20
SME,B+,Default,28
SME,B,Closed,2
SME,B,BB,6
SME,B,B+,102
SME,B,B,165
SME,B,CCC,84
SME,B,CC,17
