Variable,ADFStat,Result
FDI,0.9720365675306427,Unit root
HD,1.2017925837920473,Unit root
GDP,1.992860837001943,Unit root
RSI,2.2035612221108045,Unit root
CPI,0.8123322441630857,Unit root
Wage,3.313066446536163,Unit root
UR,-0.2370613739947557,Unit root
OP,-1.6223202471984874,Unit root
Im,0.8229689719705519,Unit root
Ex,2.4586226533666338,Unit root
PCI,3.847717055093551,Unit root
CCI,0.2620142013293087,Unit root
API,-1.0624236493583512,Unit root
PII,4.1289916467061865,Unit root
MPI,3.2588785584109634,Unit root
PIR,-1.241515487076429,Unit root
FDI_LN,1.0235253523023888,Unit root
HD_LN,1.2005350576285296,Unit root
GDP_LN,2.0428231254531672,Unit root
RSI_LN,2.1281794370586584,Unit root
CPI_LN,0.8082359661523545,Unit root
Wage_LN,3.330434224685405,Unit root
UR_LN,-2.807736600158116,Stationary
OP_LN,-0.8370732790611398,Unit root
Im_LN,0.716033570220595,Unit root
Ex_LN,2.388701395181051,Unit root
PCI_LN,3.943820858730217,Unit root
CCI_LN,0.5718511062038939,Unit root
API_LN,-0.979892364350853,Unit root
PII_LN,4.010804864157076,Unit root
MPI_LN,3.1650847688827692,Unit root
PIR_LN,-1.4507745024006753,Unit root
FDI_M3,1.2371598367880836,Unit root
FDI_M6,1.2220771517950404,Unit root
FDI_M9,1.2153837387260535,Unit root
FDI_M12,0.8677697541251035,Unit root
HD_M3,1.5933766646850276,Unit root
HD_M6,1.454903433708793,Unit root
HD_M9,1.6906951655321645,Unit root
HD_M12,1.536786380799144,Unit root
GDP_M3,1.8529789273385355,Unit root
GDP_M6,2.1596612057954956,Unit root
GDP_M9,0.9753577879217286,Unit root
GDP_M12,2.0568985825617037,Unit root
RSI_M3,1.2316956616421229,Unit root
RSI_M6,1.3300791690015155,Unit root
RSI_M9,1.4759164846896624,Unit root
RSI_M12,1.9780487117889556,Unit root
CPI_M3,0.9745015469802419,Unit root
CPI_M6,0.7305985978961775,Unit root
CPI_M9,0.9455780975868746,Unit root
CPI_M12,1.2144692179785934,Unit root
Wage_M3,2.5557596265641163,Unit root
Wage_M6,2.5538162857292215,Unit root
Wage_M9,1.5132128141406356,Unit root
Wage_M12,0.6674035249638528,Unit root
UR_M3,0.549532948378037,Unit root
UR_M6,0.6261039686142648,Unit root
UR_M9,-0.20203717695021794,Unit root
UR_M12,1.234076261021808,Unit root
OP_M3,-0.49585394453156334,Unit root
OP_M6,-1.1716139168398585,Unit root
OP_M9,-1.3901029949426669,Unit root
OP_M12,-1.3840014448913407,Unit root
Im_M3,0.8797414899082959,Unit root
Im_M6,0.9196933874251199,Unit root
Im_M9,1.152036389257693,Unit root
Im_M12,0.8494231989946385,Unit root
Ex_M3,2.512448779606047,Unit root
Ex_M6,2.993693529771337,Unit root
Ex_M9,1.635744201182714,Unit root
Ex_M12,4.595779555836711,Unit root
PCI_M3,3.7354048335804815,Unit root
PCI_M6,2.389319287612639,Unit root
PCI_M9,3.131392126427038,Unit root
PCI_M12,2.3783743390974696,Unit root
CCI_M3,-0.37471110884753456,Unit root
CCI_M6,0.05822146105418334,Unit root
CCI_M9,0.12838765350629808,Unit root
CCI_M12,0.001590852439620692,Unit root
API_M3,-0.7283399841397749,Unit root
API_M6,-1.164106430288437,Unit root
API_M9,-1.1814592617570476,Unit root
API_M12,-1.6472978831541991,Unit root
PII_M3,1.7254272392329206,Unit root
PII_M6,1.2186905922335454,Unit root
PII_M9,1.586011285675084,Unit root
PII_M12,1.6553795477788558,Unit root
MPI_M3,1.3867655214245347,Unit root
MPI_M6,2.0840679418660795,Unit root
MPI_M9,1.9279707407624924,Unit root
MPI_M12,1.429622550829454,Unit root
PIR_M3,-0.9087243272528297,Unit root
PIR_M6,-0.7955724349036898,Unit root
PIR_M9,-1.2090362790751412,Unit root
PIR_M12,-0.8685011152720199,Unit root
UR_C,-1.7049906489338351,Unit root
PIR_C,-1.6607335429403018,Unit root
FDI_C,-1.0255625188844049,Unit root
HD_C,-0.3919944864645839,Unit root
GDP_C,-0.599385522695867,Unit root
RSI_C,-0.09382881777109467,Unit root
CPI_C,-3.032481059925533,Stationary
Wage_C,-1.6054500635820173,Unit root
OP_C,-1.1434483180766242,Unit root
Im_C,-0.30038560963829575,Unit root
Ex_C,-4.7717184025973625,Stationary
